Feature,Coefficient,Abs_Coefficient
Company_Vero,-0.9299993865380796,0.9299993865380796
Company_Chuwi,-0.8428547318519524,0.8428547318519524
Company_Mediacom,-0.7999230587557984,0.7999230587557984
OpSys_Windows 7,0.49638134588068983,0.49638134588068983
Company_LG,0.47084201063088993,0.47084201063088993
Company_Google,0.4530332197614304,0.4530332197614304
OpSys_Android,-0.44998669451411266,0.44998669451411266
TypeName_Netbook,-0.390317396675569,0.390317396675569
TypeName_Workstation,0.371074166696964,0.371074166696964
Company_Microsoft,0.3609373009675238,0.3609373009675238
Company_Toshiba,0.3331232589880903,0.3331232589880903
OpSys_Mac OS X,0.25972689569162055,0.25972689569162055
Company_Apple,0.23560052011025545,0.23560052011025545
Company_Samsung,0.22030714117163533,0.22030714117163533
TypeName_Notebook,-0.21275264199035193,0.21275264199035193
Company_Xiaomi,0.20506700063128544,0.20506700063128544
OpSys_Chrome OS,-0.19314940834414296,0.19314940834414296
Company_Fujitsu,0.17449278504277435,0.17449278504277435
Company_Acer,-0.1710185596800104,0.1710185596800104
OpSys_No OS,-0.16711341850190625,0.16711341850190625
Company_Razer,0.16236281959330096,0.16236281959330096
OpSys_Windows 10,0.15974824173910362,0.15974824173910362
Ram,0.15055593871622747,0.15055593871622747
Cpu_brand_Intel,0.14306767544678464,0.14306767544678464
Cpu_brand_AMD,-0.14306767544678453,0.14306767544678453
SSD,0.14250945281574567,0.14250945281574567
Company_MSI,0.11801292853276407,0.11801292853276407
Y_res,0.11620007513236127,0.11620007513236127
Company_Huawei,-0.11591313192414313,0.11591313192414313
Company_HP,0.11076172723512112,0.11076172723512112
TypeName_2 in 1 Convertible,0.10314842044882311,0.10314842044882311
TypeName_Ultrabook,0.09338470986944486,0.09338470986944486
Gpu_brand_Nvidia,0.08780021053977535,0.08780021053977535
Company_Asus,-0.06932814599056472,0.06932814599056472
X_res,0.06694608119073293,0.06694608119073293
Company_Dell,0.06125445266498737,0.06125445266498737
Weight,0.05889103726655455,0.05889103726655455
Gpu_brand_AMD,-0.058520574226989364,0.058520574226989364
Inches,-0.04729892150715502,0.04729892150715502
Touchscreen,-0.046596544357724895,0.046596544357724895
OpSys_Linux,-0.04351156570236148,0.04351156570236148
OpSys_Windows 10 S,-0.037969020667523556,0.037969020667523556
TypeName_Gaming,0.03546274165068708,0.03546274165068708
Gpu_brand_Intel,-0.02927963631278506,0.02927963631278506
Flash_Storage,-0.025600201161961655,0.025600201161961655
col_1,0.025394285686245244,0.025394285686245244
OpSys_macOS,-0.02412637558136646,0.02412637558136646
Company_Lenovo,0.023241849410489956,0.023241849410489956
col_9,-0.02098848979200113,0.02098848979200113
col_6,-0.020586858082663362,0.020586858082663362
HDD,0.01673759154985198,0.01673759154985198
col_4,0.016080945762512122,0.016080945762512122
col_2,-0.012438536727406052,0.012438536727406052
col_7,-0.011162308050321923,0.011162308050321923
col_8,0.009545806839661164,0.009545806839661164
col_0,0.007273523273892513,0.007273523273892513
col_3,0.005624978973178318,0.005624978973178318
col_5,-0.003220971390566346,0.003220971390566346
Hybrid,0.00047720483810467784,0.00047720483810467784
